SUIT,RANK,STORY,FILE
O,1 (A),Dios nunca repite - time measured by KAMBIO,"There might be only ONE electron in the universe, since it experiences no time"
O,2,The Cat called Life,""
O,3,The Air Is Blue,Fish dont see water
O,4,,
O,5,U can see IR with a digital camera,
O,6,The BBB,"Es como el acertijo teologico: puede dios crear una piedra tan grande q el no pieda mover?
puede el crear una cerradura que ni el mismo pueda violar? Si"
O,7,LSD - You can see wind moving (waves),
O,8,"",
O,9,"A tree faling, no one to hear. makes sound? Yes. Not noise. It needs someone to hear it","new genesis day 4, the stars and the observers are the same"
O,10,,
O,11 (J),Fermi's paradox: the great filter,"Nuclear energy is not the GF, because it did not ignite the atmosphere"
O,12 (Q),,
O,13 (K),La pelotita picando a 145 bpm,
Y,1 (A),,
Y,2,,
Y,3,the golder ratio as algebraic number:,0=f*f-f+1
Y,4,,
Y,5,,
Y,6,,
Y,7,,
Y,8,,
Y,9,,
Y,10,,
Y,11 (J),,
Y,12 (Q),,
Y,13 (K),,
X,1 (A),AbraKadAbra,
X,2,The Emperors new Robes,
X,3,los tres abrazos,
X,4,,
X,5,pq hebreo RTL y no LTR?,
X,6,,
X,7,,
X,8,,
X,9,,
X,10,,
X,11 (J),,
X,12 (Q),,
X,13 (K),,
*,1 (A),el cubo rubic,
*,2,los dos corchos,
*,3,perro / gato / pajarito nudista,
*,4,9+99+999+9999+...+ (1000 9s) = ,how many ones in the answer?
*,5,two bedouins in the desert 3/5 loaves and 8 gold coins,
*,6,what weighs you have to weigh 1 to 40 kg in scale,
*,7,island prison -  how you swim out?,""
*,8,Si pensar es para mover los miembros, bailar es fluir. Antipensar. Apretar el embrague al maximo
*,9,spanning set of change in your wallet: 145,
*,10,,
*,11 (J),,
*,12 (Q),,
*,13 (K),,
