SUIT,RANK,STORY,FILE
Tales,Secrets
O,1 (A),Dios nunca repite - Genesis DAY measured by KAMBIO,"There might be only ONE electron in the universe, since it experiences no time"
O,2,The Cat called Life,""
O,3,The Air Is Blue,Fish dont see water
O,4,LSD - You can see wind moving (waves),
O,5,U can see IR with a digital camera,
O,6,The BBB,"Es como el acertijo teologico: puede dios crear una piedra tan grande q el no pieda mover?
puede el crear una cerradura que ni el mismo pueda violar? Si"
O,7,YOU ARE ALWAYS ALONE,Trapped inside your skull - protected from malevolent agents
O,8,The two great gifts of judaism to humanity:,The day of rest and the end of HUMAN sacrifice
O,9, ,
O,10,Transient Hypo Frontality And the default mode network,
O,11 (J),The God Network: tails are antennae,""
O,12 (Q),Signle electron theory:,"Time is perceived by your level of FOCUS, not real"
O,13 (K),La pelotita picando a 145 bpm,
Truhs
Y,1 (A),Adam And Eve in paradise,"There were multiple ""humans in paradise"", but god would only ENTER (and educate) adam and eve"
Y,2,The Great Flood WAS real,This was before there were any monoteistic religions. Noah was a good man that DID NOT understand what was happeing to him.
Y,3,the golder ratio as algebraic number:,0=f*f-f+1
Y,4,God listens to divine music,Divine is music not bound to the rules of sound propagation. Electronic music
Y,5,two types of party. horizontal energy vs vertical ,
Y,6,Eppur si muove (1663),Terraplanismo
Y,7,,
Y,8,The Mila,foreskin is the tool for raping. Necessary in a system where reproduction is a mechanical act.
Y,9,Rules of Kosher,Limit toxicology: only ruminant matters!
Y,10,,
Y,11 (J),,
Y,12 (Q),,
Y,13 (K),,
Language
X,1 (A),AbraKadAbra,
X,3,los tres abrazos,
X,4,The Emperors new Robes,
X,5,pq hebreo solo escribe consonantes?,
X,6,pq hebreo RTL y no LTR?,
X,7,"XX vs XY (all animals are part woman, because we ll are born from a female. Thats the first X. ",Then the second one is what we actually are
X,8,3x3 vs 2x2 - how much info can be encoded in a language,
X,9,you dont get old and unflexible. ,you first lose flexibility and then get old
X,10, ,
X,11 (J),"The horizontal energy is real. If you are part of a minyan, you dont even have to pray at all. Just say AMEN",
X,12 (Q),A clone shares the original soul. An engineered baby has NO soul. Does not count for minyan,
X,13 (K),"Altruistic DJ - Right freq, no lies, no song",
Riddles
*,1 (A),el cubo rubik,
*,2,los dos corchos,
*,3,perro / gato / pajarito nudista,
*,4,9+99+999+9999+...+ (1000 9s) = ,how many ones in the answer?
*,5,two bedouins in the desert 3/5 loaves and 8 gold coins,
*,6,what weighs you have to weigh 1 to 40 kg in scale,
*,7,island prison -  how you swim out?,""
*,8,"A tree faling, no one to hear. makes sound? Yes. Not noise. It needs someone to hear it","new genesis day 4, the stars and the observers are the same"
*,9,La Regla numero 1: NO PENSAR,
*,10,spanning set of change in your wallet: 145,
*,11 (J),Fermi's paradox: the great filter,"Nuclear energy is NOT the GF, because it did not ignite the atmosphere"
*,12 (Q),Why did god create the universe?,"our entire unvierse is a womb. God is digital. Boolean. Good an Bad. Black and White, and he created a quantum computer that models our entire universe. His hope is one day, out of the womb, a digital+biological sentient being would emerge. Someone he might call a friend. He waits for that moment"
*,13 (K),The meaning of life,is figuring out what the meaning of life is. We each have our answer
